,EAN,,Name,,,,,,EKN
,11575,0,Ananas Extra Sweet 9-10  CI/CR,St,S,101,7,0,"2,50 €"
,11590,0,Erdbeeren 500g ,500g,L,101,7,0,"5,60 €"
,11600,0,Aprikosen   IT,kg,L,101,7,0,"4,30 €"
,11599,0,Nektarinen gelb Cal. A      IT,kg,L,101,7,0,"4,49 €"
,11596,0,Pfirsich gelb   Cal.A/B     ES,kg,L,101,7,0,"3,35 €"
,11533,0,Süßkartoffeln,kg,L,101,19,0,"3,59 €"
,11550,0,Chinakohl,kg,L,101,7,0,"2,25 €"
,11552,0,Kohlrabi,St,L,101,7,0,"0,99 €"
,11551,0,Blumenkohl    ,St,br,101,7,0,"2,00 €"
,11603,0,kbo Postkarte,St,KBO,606,19,0,"2,00 €"
,11607,0,Kosmetikpads Set,St,KBO,602,19,0,"4,50 €"
,11608,0,"Pfand Kiste 1,50€",St,,9999,19,0,"1,50 €"
,11619,0,Grünkohl                Bayern,kg,br,101,7,0,"3,64 €"
,11622,0,Auberginen          ,kg,br,101,7,0,"4,99 €"
,13760,0,Brotzeitei,St,,102,7,0,"0,54 €"
,11639,0,"Kamillentee, Bio",Kg,,502,7,0,"30,40 €"
,900414590507,0,BIO BASEN FRÜCHTETEE,kg,STN,502,7,0,"21,50 €"
,11642,0,"Assamtee, Bio",kg,STN,502,7,0,"30,90 €"
,11644,0,"Glückstee, Bio",kg,STN,502,7,0,"41,35 €"
,11645,0,Zitronengras Bio,kg,STN,502,7,0,"21,00 €"
,11647,0,"Pfefferminztee, Bio",kg,STN,502,7,0,"23,20 €"
,11649,0,Pizzagewürz,kg,STN,301,7,0,"24,90 €"
,11650,0,Oregano Bio,kg,STN,301,7,0,"17,30 €"
,11652,0,Koriander ganz Bio,kg,STN,301,7,0,"10,00 €"
,11654,0,Popcorn Mais,kg,STN,201,7,0,"3,10 €"
,11653,0,"Gunpowder, Bio",kg,STN,502,7,0,"18,70 €"
,78422852892,0,Zahnseide 30m,St,CHIN,602,19,0,"2,98 €"
,78422852894,0,Vegane Zahnseide 30m,St,CHIN,602,19,0,"2,98 €"
,78422852917,0,Wattestäbchen 200er,St,CHIN,602,19,0,"1,70 €"
,78422852919,0,Vegane Zahnseide 60m Nachfüller,St,CHIN,602,19,0,"3,28 €"
,11655,0,Waschmittel,kg,ULR,603,19,0,"3,22 €"
,11656,0,Waschmittel Citrus,kg,ULR,603,19,0,"3,85 €"
,11657,0,Waschmittel Pulver,kg,ULR,603,19,0,"4,65 €"
,11658,0,Spülmittel Aloe Vera,kg,ULR,603,19,0,"2,75 €"
,11659,0,Spülmaschinenentabs,kg,ULR,603,19,0,"9,86 €"
,11660,0,Klarspüler f. Spülmaschine,kg,ULR,603,19,0,"2,49 €"
,11661,0,Regeneriersalz,kg,ULR,603,19,0,"1,50 €"
,11662,0,Universalreiniger Citrus,kg,ULR,603,19,0,"3,86 €"
,11663,0,WC Reiniger mit Milchsäure,kg,ULR,603,19,0,"6,47 €"
,11664,0,Entkalker,kg,ULR,603,19,0,"3,39 €"
,11665,0,"Leinölhandseife mit ätherischen, Bio",kg,ULR,603,19,0,"8,27 €"
,11666,0,"Espresso, Bio",kg,SCHN,502,7,0,"22,71 €"
,11667,0,"Bavariakaffee, Bio",kg,SCHN,502,7,0,"22,29 €"
,11668,0,"Espresso Pacha Mama, Bio",kg,SCHN,502,7,0,"24,81 €"
,725,0,Baguette 1/2,St,BROT,104,7,0,"1,87 €"
,11675,0,Zucchini Billesberger,kg,br,101,7,0,"3,20 €"
,11680,0,Himbeeren Ohne Deckel   Bayern,125g,br,101,7,0,"3,25 €"
,11682,0,Sojaschnetzel Grob,kg,,304,7,0,"6,75 €"
,11683,0,Säckchen 15x15,St,,601,19,0,"2,50 €"
,11685,0,Brotbeutel Leinen,St,,601,19,0,"13,57 €"
,426036585720,0,Mundöl Coconut,St,,0,19,0,"7,50 €"
